Model,MSE,RMSE,MAE,R2
model_randomforest,9.616482163909469,3.101045334062285,1.3337041262597469,0.9796550330132002
model_ridge,18.38127741197543,4.287339199547364,2.1384209133864127,0.9611519442826134
LSTM,14.06839839247406,3.7507863698795294,2.072544565017354,0.972628086215101
GRU,7.1110,2.6666,1.6730,0.9862
